Catego_LHT_plan;Dataset;Population_name;Biogeographic_pos_pop;Marker_type;Sample_size;n_markers;n_markers_polymorphic;Ho;He;Ar;Fis;Fst;Gst_pr;JostD;BayesFst;Expected_Ne_bias;NeEstimator_result;NeLD;JK_CI_down;JK_CI_up
FastFS/IntermRS;Alytes_obstetricans_Barratt_2024;MetapopA;edge;SSR;67;9;5;0.162;0.237;2.187;0.252;0.379;0.234;0.213;0.43;Nb;85.4;74.1;13.9;999999
FastFS/IntermRS;Alytes_obstetricans_Barratt_2024;MetapopC;edge;SSR;31;9;7;0.174;0.284;2.326;0.3;0.233;0.137;0.12;0.281;Nb;15.4;13.36;2.5;999999
FastFS/IntermRS;Alytes_obstetricans_Barratt_2024;pop14;edge;SSR;23;9;8;0.265;0.373;2.64;0.228;0.365;0.224;0.262;0.342;Nb;66.2;57.44;8.1;999999
FastFS/IntermRS;Alytes_obstetricans_Barratt_2024;pop18;edge;SSR;25;9;5;0.261;0.281;1.778;0.088;0.287;0.172;0.16;0.504;Nb;3.3;2.86;1.5;15.9
FastFS/IntermRS;Alytes_obstetricans_Barratt_2024;pop28;edge;SSR;20;9;6;0.321;0.3;2.206;-0.025;0.348;0.212;0.215;0.384;Nb;999999;999999;3.3;999999
FastFS/IntermRS;Alytes_obstetricans_Barratt_2024;pop3;edge;SSR;20;9;3;0.083;0.109;1.544;0.124;0.4;0.266;0.193;0.618;Nb;11.3;9.8;0;999999
IntermFS/LowRS;Antirrhinum_charidemi_HeuertzForrest_2024;BDB_sub1;endemic;SSR;73;13;13;0.425;0.431;3.389;0.003;0.074;0.048;0.072;0.104;Ne-down;49.9;49.9;25.6;137.7
IntermFS/LowRS;Antirrhinum_charidemi_HeuertzForrest_2024;BDB_sub5;endemic;SSR;62;13;13;0.466;0.458;3.493;-0.006;0.047;0.029;0.046;0.069;Ne-down;35.3;35.3;21.2;67.4
IntermFS/LowRS;Antirrhinum_charidemi_HeuertzForrest_2024;Poyatos;endemic;SSR;21;13;12;0.42;0.391;3.451;-0.012;0.102;0.067;0.101;0.144;Ne-down;999999;999999;21.9;999999
FastFS/LowRS;Barbastella_barbastellus_Razgour_2024;Iberian_col;edge;SNP;35;46839;43584;0.267;0.27;1.975;0.023;0.047;0.024;0.019;0.049;Ne-down;1097.72;1280.895106;399.9332961;999999
FastFS/LowRS;Barbastella_barbastellus_Razgour_2024;Sussex_col;island;SNP;32;46839;44391;0.275;0.273;1.963;0.008;0.047;0.024;0.019;0.046;Ne-down;164.49;191.9360039;113.311446;375.6967495
IntermFS/IntermRS;Canis_lupus_Silva_2018_K11;K11_C_Asturias;edge;SSR;31;46;45;0.531;0.554;3.525;0.047;0.123;0.066;0.172;0.153;Ne-down;16.6;16.6;10.8;27.6
IntermFS/IntermRS;Canis_lupus_Silva_2018_K11;K11_E_Asturias;edge;SSR;21;46;44;0.511;0.487;3.268;-0.021;0.144;0.08;0.198;0.222;Ne-down;9.6;9.6;4.5;20.8
IntermFS/IntermRS;Canis_lupus_Silva_2018_K11;K11_W_Galicia;edge;SSR;54;46;45;0.544;0.561;3.777;0.035;0.14;0.077;0.201;0.116;Ne-down;44.5;44.5;31.2;69.4
IntermFS/IntermRS;Canis_lupus_Szewczyk_2019;CarpMTS;core;SSR;71;13;13;0.667;0.685;5.99;0.033;0.117;0.063;0.279;0.11;Ne-down;50.9;50.9;32.6;90.2
IntermFS/IntermRS;Canis_lupus_Szewczyk_2019;LT;core;SSR;58;13;13;0.738;0.733;6.157;0.002;0.049;0.025;0.12;0.028;Ne-down;66.3;66.3;44.7;112.1
IntermFS/IntermRS;Canis_lupus_Szewczyk_2019;NEPL_I;core;SSR;41;13;13;0.611;0.621;5.421;0.03;0.049;0.026;0.104;0.05;Ne-down;30.5;30.5;16.4;73.7
IntermFS/IntermRS;Canis_lupus_Szewczyk_2019;NEPL_II;core;SSR;39;13;13;0.732;0.709;6.119;-0.021;0.041;0.021;0.097;0.025;Ne-down;63.8;63.8;29.8;463.6
IntermFS/IntermRS;Canis_lupus_Szewczyk_2019;NWPL;core;SSR;44;13;13;0.638;0.658;5.325;0.039;0.038;0.02;0.087;0.043;Ne-down;28.8;28.8;18.3;50.3
IntermFS/IntermRS;Canis_lupus_Szewczyk_2019;SEPL;core;SSR;23;13;13;0.676;0.667;5.421;-0.001;0.07;0.036;0.155;0.093;Ne-down;16.1;16.1;8.3;40.1
IntermFS/IntermRS;Canis_lupus_Szewczyk_2019;WPL_I;core;SSR;81;13;13;0.617;0.593;4.65;-0.029;0.064;0.033;0.127;0.111;Ne-down;50.8;50.8;33.2;85.9
IntermFS/IntermRS;Canis_lupus_Szewczyk_2019;WPL_II;core;SSR;36;13;13;0.635;0.651;5.157;0.03;0.041;0.021;0.093;0.065;Ne-down;38.7;38.7;22.4;87.8
FastFS/IntermRS;Coenagrion_mercuriale_Leveque_2024_pop_2021;GA-1_2021;core;SNP;149;1333;1287;0.221;0.219;1.919;-0.012;0.011;0.006;0.003;0.008;Ne-down;941;1392.10748;673;1561.4
